2010/12/22,ETom,CiscoMobileiPhone8.1 Setup,3.5
2010/12/22,ETom,CiscoMobileiPhone8.1 BAT,5
2010/12/24,ETom,CiscoMobileiPhone8.1 GUI,8.5
2010/01/04,jSak,Others,7
2010/01/05,jSak,Others,9
2010/01/06,jSak,Others,7
2010/01/07,jSak,Meeting,0.5
2010/01/07,jSak,Others,6.5
2010/01/08,jSak,Others,7
2010/01/12,jSak,Others,7
2010/01/13,jSak,Others,5
2010/01/14,jSak,Others,7
2010/01/15,jSak,Meeting,0.5
2010/01/15,jSak,Others,8
2010/01/18,jSak,Others,7
2010/01/19,jSak,Others,7
2010/01/20,jSak,Others,7
2010/01/21,jSak,Meeting,0.5
2010/01/21,jSak,Others,6.5
2010/01/22,jSak,Others,7
2010/01/25,jSak,Meeting,0.5
2010/01/25,jSak,Others,6.5
2010/01/26,jSak,Others,7
2010/01/28,jSak,Others,7
2010/01/29,jSak,Others,7
2010/02/01,jSak,Others,7
2010/02/02,jSak,Others,7
2010/02/03,jSak,Others,7
2010/02/05,jSak,Others,5.5
2010/02/05,jSak,CUP8.0+CUPC7.x TS,1.5
2010/02/08,jSak,Meeting,0.5
2010/02/08,jSak,Others,5
2010/02/08,jSak,CUP8.0+CUPC7.x Report,1.5
2010/02/09,jSak,Others,1.5
2010/02/09,jSak,CUCM8.0 Prep,5.5
2010/02/10,jSak,CUCM8.0 Prep,3
2010/02/10,jSak,CUCM8.0 GUI,4
2010/02/12,jSak,CUCM8.0 GUI,5.5
2010/02/12,jSak,UCCE8.0 Report,1.5
2010/02/15,jSak,Meeting,0.5
2010/02/15,jSak,Others,6.5
2010/02/17,jSak,Others,7
2010/02/18,jSak,Meeting,0.5
2010/02/18,jSak,Others,6.5
2010/02/19,jSak,Others,7
2010/01/05,JTom,Others,6
2010/01/05,JTom,CUCM8.0 GUI,1.5
2010/01/06,JTom,CUCM8.0 GUI,8
2010/01/07,JTom,CUCM8.0 GUI,8
2010/01/13,JTom,CUCM8.0 GUI,2.5
2010/01/15,JTom,CUCM8.0 GUI,7.5
2010/01/22,JTom,Others,3
2010/01/22,JTom,CUCM8.0 GUI,4
2010/01/26,JTom,Others,5
2010/01/26,JTom,CUP8.0+CUPC7.x GUI,2
2010/02/05,JTom,CUCM8.0 Prep,7.5
2010/02/09,JTom,CUP8.0+CUPC7.x Prep,7.5
2010/02/10,JTom,CUCM8.0 GUI,8
2010/02/12,JTom,CUCM8.0 GUI,7.5
2010/02/15,JTom,Meeting,1.5
2010/02/15,JTom,CUCM8.0 GUI,2.5
2010/02/15,JTom,CUP8.0+CUPC7.x Prep,1.5
2010/02/15,JTom,CUP8.0+CUPC7.x GUI,2
2010/02/17,JTom,CUP8.0+CUPC7.x GUI,7
2010/02/17,JTom,CUP8.0+CUPC7.x BAT,0.5
2010/02/19,JTom,CUP8.0+CUPC7.x GUI,7
2010/02/22,JTom,Meeting,0.5
2010/02/22,JTom,CUP8.0+CUPC7.x GUI,5.5
2010/02/22,JTom,CUP8.0+CUPC7.x BAT,1
2010/02/23,JTom,CUP8.0+CUPC7.x GUI,7
2010/02/23,JTom,CUP8.0+CUPC7.x BAT,1
2010/02/24,JTom,CUP8.0+CUPC7.x GUI,6.5
2010/02/24,JTom,CUP8.0+CUPC7.x BAT,1.5
2010/03/01,JTom,CUP8.0+CUPC7.x GUI,6.5
2010/03/01,JTom,CUC8.0 Regress,1
2010/03/04,JTom,CUCM7.1.5 Prep,3.5
2010/03/04,JTom,CUCM7.1.5 Regress,4.5
2010/03/05,JTom,CUCM7.1.5 Regress,8
2010/03/08,JTom,CUCM7.1.5 Regress,8
2010/03/09,JTom,CUCM7.1.5 GUI,8.5
2010/03/23,JTom,Meeting,0.5
2010/03/23,JTom,CUCM8.0 GUI,6
2010/03/23,JTom,CUCM8.0 BAT,1.5
2010/03/23,JTom,CUP8.0+CUPC7.x GUI,0.5
2010/03/25,JTom,Meeting,1
2010/03/25,JTom,CUCM8.0 GUI,6.5
2010/03/26,JTom,CUCM8.0 GUI,8
2010/03/29,JTom,CUCM8.0 GUI,9
2010/04/01,JTom,Meeting,1
2010/04/01,JTom,CUCM7.1.5 Regress,6.5
2010/04/12,JTom,Meeting,0.5
2010/04/12,JTom,CUP8.0 Regress,7
2010/04/13,JTom,Others,1
2010/04/13,JTom,CUP8.0 Regress,6.5
2010/04/22,JTom,Meeting,1
2010/04/22,JTom,CUPC8.0 Regress,6
2010/04/27,JTom,Meeting,0.5
2010/04/27,JTom,CUCIMOC8.0 Regress,6.5
2010/05/14,JTom,WCS Prep,7
2010/05/17,JTom,Meeting,0.5
2010/05/17,JTom,WCS GUI,7
2010/05/18,JTom,WCS GUI,7.5
2010/05/19,JTom,WCS GUI,8
2010/05/20,JTom,WCS GUI,7
2010/05/20,JTom,SBTG Prep,0.5
2010/05/26,JTom,Meeting,1.5
2010/05/26,JTom,CUCM7.1.5 TS,5.5
2010/05/27,JTom,Meeting,0.5
2010/05/27,JTom,CUCM7.1.5 TS,5.5
2010/06/08,JTom,MP8.0 GUI,8.5
2010/06/09,JTom,MP8.0 GUI,7
2010/06/23,JTom,Meeting,0.5
2010/06/23,JTom,CUCM8.5 Prep,2.5
2010/06/23,JTom,CME8.0 Prep,4
2010/06/29,JTom,CUxAC8.0 Prep,9.5
2010/07/06,JTom,Meeting,0.5
2010/07/06,JTom,CME8.0 Prep,0.5
2010/07/06,JTom,CME8.0 GUI,5.5
2010/07/06,JTom,CME8.0 BAT,1
2010/07/07,JTom,CME8.0 GUI,5
2010/07/07,JTom,CME8.0 BAT,2.5
2010/07/08,JTom,CME8.0 GUI,5
2010/07/08,JTom,CME8.0 BAT,2.5
2010/07/20,JTom,Meeting,0.5
2010/07/20,JTom,SRST8.0 GUI,3.5
2010/07/20,JTom,SRST8.0 BAT,3
2010/08/05,JTom,Meeting,0.5
2010/08/05,JTom,CUCM8.5 Prep,3
2010/08/05,JTom,CUCM8.5 GUI,3.5
2010/08/06,JTom,Meeting,0.5
2010/08/06,JTom,CUCM8.5 Prep,3.5
2010/08/06,JTom,CUCM8.5 GUI,5
2010/08/16,JTom,Meeting,0.5
2010/08/16,JTom,CUCM8.5 GUI,7
2010/08/17,JTom,CUCM8.5 GUI,8
2010/08/18,JTom,CUCM8.5 GUI,8.5
2010/08/23,JTom,CUCM8.5 GUI,7.5
2010/08/24,JTom,Meeting,0.5
2010/08/24,JTom,CUCM8.5 GUI,7.5
2010/08/25,JTom,CUCM8.5 GUI,8.5
2010/09/21,JTom,CUC8.5 Prep,1.5
2010/09/21,JTom,CUC8.5 GUI,6
2010/09/22,JTom,CUC8.5 GUI,8.5
2010/10/07,JTom,Meeting,0.5
2010/10/07,JTom,CME8.6 Prep,1.5
2010/10/07,JTom,CME8.6 GUI,4.5
2010/10/07,JTom,CME8.6 BAT,2
2010/10/08,JTom,CME8.6 GUI,5.5
2010/10/08,JTom,CME8.6 BAT,3
2010/10/12,JTom,CME8.6 GUI,4.5
2010/10/12,JTom,CME8.6 BAT,3.5
2010/10/13,JTom,CME8.6 GUI,4.5
2010/10/13,JTom,CME8.6 BAT,4.5
2010/10/14,JTom,Meeting,1
2010/10/14,JTom,CME8.6 GUI,3.5
2010/10/14,JTom,CME8.6 BAT,4.5
2010/10/29,JTom,CUCM8.5 GUI,7.5
2010/11/01,JTom,CUCM8.5 GUI,8.5
2010/11/02,JTom,CUCM8.5 GUI,8.5
